N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
122,SK케미칼,"238,000","4,000",-1.65%,"5,000","27,968","11,751",17.65,"55,924",10.80,30.49,
123,DL이앤씨,"144,000","2,000",-1.37%,"5,000","27,877","19,359",28.23,"99,540",N/A,N/A,
124,제일기획,"24,200",850,-3.39%,200,"27,840","115,041",33.82,"183,235",16.78,16.11,
125,OCI,"115,500","2,500",-2.12%,"5,000","27,546","23,849",14.85,"273,932",-18.11,-9.89,
126,효성첨단소재,"609,000","33,000",-5.14%,"5,000","27,283","4,480",12.29,"146,527",75.17,0.03,
127,DB하이텍,"61,000",300,-0.49%,"5,000","27,083","44,399",17.79,"280,405",17.10,23.07,
128,현대로템,"24,700",450,+1.86%,"5,000","26,958","109,142",4.53,"1,791,516",57.18,2.84,
129,현대위아,"98,300",300,+0.31%,"5,000","26,733","27,195",7.76,"196,523",173.67,1.96,
130,신세계,"266,000","5,500",-2.03%,"5,000","26,188","9,845",27.82,"43,277",-81.92,-2.81,
131,현대차우,"107,000","1,000",-0.93%,"5,000","26,062","24,357",58.95,"15,594",12.95,N/A,
132,한화에어로스페이스,"51,300",300,-0.58%,"5,000","25,973","50,630",19.89,"179,254",11.63,4.78,
133,효성,"122,000","3,000",-2.40%,"5,000","25,707","21,071",9.76,"70,301",91.18,-2.26,
134,더존비즈온,"84,200",800,-0.94%,500,"25,547","30,341",38.84,"45,460",46.88,15.09,
135,BNK금융지주,"7,700",0,0.00%,"5,000","25,097","325,935",38.36,"962,368",4.37,6.11,
136,KODEX 단기채권,"102,850",0,0.00%,0,"24,224","23,553",0.00,"16,546",N/A,N/A,
137,하이트진로,"34,150",350,-1.01%,"5,000","23,951","70,134",5.46,"166,855",29.54,8.23,
138,LS,"72,900",600,-0.82%,"5,000","23,474","32,200",15.35,"74,750",12.84,3.94,
139,현대해상,"25,650",50,+0.20%,500,"22,931","89,400",28.03,"239,708",6.20,7.13,
140,한화,"29,750",400,-1.33%,"5,000","22,300","74,959",17.77,"223,887",7.62,4.79,
141,대한전선,"2,595",20,-0.76%,500,"22,225","856,473",3.39,"4,298,761",185.36,0.92,
142,KODEX 200선물인버스2X,"1,965",45,+2.34%,0,"22,114","1,125,400",3.39,"134,201,511",N/A,N/A,
143,코오롱인더,"81,300",100,+0.12%,"5,000","21,934","26,979",20.05,"153,940",26.94,9.70,
144,대웅,"37,550",250,+0.67%,500,"21,832","58,142",3.60,"401,713",25.37,15.10,
145,현대엘리베이,"53,200",400,+0.76%,"5,000","21,714","40,815",27.81,"303,601",19.40,9.78,
146,TIGER 200,"42,575",420,-0.98%,0,"21,330","50,100",0.00,"396,399",N/A,N/A,
147,HDC현대산업개발,"31,100",50,-0.16%,"5,000","20,497","65,907",11.42,"145,710",9.90,8.85,
148,동국제강,"21,250",450,+2.16%,"5,000","20,279","95,433",22.00,"1,053,927",9.63,3.35,
149,한전기술,"52,700","1,000",-1.86%,200,"20,142","38,220",2.00,"189,871",120.32,N/A,
150,농심,"326,500",500,+0.15%,"5,000","19,860","6,083",13.72,"23,319",15.42,7.50,
151,대웅제약,"171,000","3,000",+1.79%,"2,500","19,813","11,587",5.27,"411,588",-179.62,2.38,
152,오뚜기,"536,000","4,000",-0.74%,"5,000","19,682","3,672",12.76,"2,463",20.32,7.93,
153,LS ELECTRIC,"65,200",600,+0.93%,"5,000","19,560","30,000",14.44,"203,231",24.86,6.15,
154,한전KPS,"42,700",200,-0.47%,200,"19,215","45,000",8.55,"73,642",17.81,8.23,
155,금호타이어,"6,600",160,-2.37%,"5,000","18,959","287,260",4.23,"314,666",-124.53,-6.74,
156,롯데정밀화학,"73,200",100,+0.14%,"5,000","18,886","25,800",20.05,"79,134",9.63,12.65,
157,진원생명과학,"41,700","2,600",-5.87%,"1,000","18,853","45,212",14.04,"3,210,764",-95.42,-30.43,
158,현대백화점,"80,300",900,-1.11%,"5,000","18,792","23,402",18.79,"46,197",19.28,1.65,
159,솔루스첨단소재,"60,800",100,-0.16%,100,"18,599","30,590",8.14,"321,834",-167.96,-5.10,
160,한미반도체,"36,750",150,-0.41%,200,"18,176","49,460",8.77,"472,205",30.02,21.03,
161,KODEX 삼성그룹,"10,505",135,-1.27%,0,"18,058","171,900",0.02,"240,944",N/A,N/A,
162,영원무역,"39,400",50,+0.13%,500,"17,459","44,311",27.39,"47,807",11.30,8.03,
163,명신산업,"32,500",700,-2.11%,500,"17,053","52,470",2.15,"1,154,491",-14.09,-67.39,
164,한국앤컴퍼니,"17,950",200,-1.10%,500,"17,041","94,935",9.74,"629,806",8.28,5.08,
165,프레스티지바이오파마,"28,050",500,-1.75%,0,"16,857","60,096",63.78,"127,130",-83.48,N/A,
166,아이에스동서,"54,200",400,-0.73%,500,"16,744","30,893",4.50,"21,908",13.10,10.92,
167,대한유화,"257,000","5,000",-1.91%,"5,000","16,705","6,500",14.66,"75,558",7.33,6.93,
168,KG동부제철,"16,700",500,+3.09%,"5,000","16,701","100,009",1.16,"364,122",18.51,7.18,
169,DL,"78,500",300,+0.38%,"5,000","16,450","20,956",15.71,"138,443",4.21,11.84,
170,지누스,"101,000","2,000",-1.94%,500,"15,958","15,800",22.90,"32,392",33.33,11.61,
171,두산,"96,400","2,100",-2.13%,"5,000","15,929","16,524",11.04,"31,713",-11.60,-34.34,
172,DGB금융지주,"9,410",120,+1.29%,"5,000","15,917","169,146",48.82,"894,899",4.33,6.93,
173,에스엘,"32,400",350,-1.07%,500,"15,618","48,203",17.01,"32,474",14.15,4.74,
174,SK네트웍스,"6,170",10,-0.16%,"2,500","15,313","248,188",13.74,"256,773",14.80,1.63,
175,JB금융지주,"7,680",20,-0.26%,"5,000","15,128","196,983",40.94,"211,232",3.79,10.06,
176,솔루엠,"30,200","1,000",-3.21%,500,"15,041","49,806",8.22,"515,573",29.55,43.26,
177,NHN,"76,800","1,100",-1.41%,500,"15,026","19,565",13.00,"37,912",56.06,1.35,
178,종근당,"130,000","1,000",-0.76%,"2,500","14,854","11,426",7.66,"17,529",16.73,17.88,
179,부광약품,"20,900",100,+0.48%,500,"14,852","71,063",3.58,"408,703",-157.14,-2.46,
180,녹십자홀딩스,"31,300",350,-1.11%,500,"14,720","47,028",4.73,"84,674",8.31,19.74,
181,롯데리츠,"5,900",30,-0.51%,500,"14,335","242,969",10.22,"159,874",34.30,1.83,
182,KODEX 단기채권PLUS,"103,150",5,0.00%,0,"14,221","13,787",0.00,"1,346,361",N/A,N/A,
183,LG생활건강우,"676,000","4,000",-0.59%,"5,000","14,194","2,100",85.20,"3,166",14.57,N/A,
184,코스맥스,"123,500","2,500",-1.98%,500,"14,017","11,350",24.09,"38,460",38.85,6.23,
185,KODEX 종합채권(AA-이상)액티브,"109,685",0,0.00%,0,"13,935","12,705",0.00,"2,341",N/A,N/A,
186,신세계인터내셔날,"193,500","2,000",-1.02%,"5,000","13,816","7,140",5.28,"6,853",19.83,8.24,
187,KODEX 레버리지,"27,470",600,-2.14%,0,"13,735","50,000",3.74,"11,395,543",N/A,N/A,
188,롯데관광개발,"19,500",250,-1.27%,500,"13,509","69,276",6.45,"151,535",-10.91,-30.43,
189,아시아나항공,"18,050",0,0.00%,"5,000","13,431","74,412",19.75,"278,236",-20.01,-43.83,
190,롯데칠성,"143,500","1,000",-0.69%,500,"13,315","9,279",9.00,"34,127",193.40,-1.00,
191,LG전자우,"76,400","1,400",-1.80%,"5,000","13,130","17,186",41.19,"66,983",7.12,N/A,
192,TIGER 차이나전기차SOLACTIVE,"16,780",190,+1.15%,0,"12,927","77,040",0.47,"5,149,810",N/A,N/A,
193,티와이홀딩스,"32,050",350,-1.08%,500,"12,875","40,172",6.00,"36,591",1.21,N/A,
194,코스모신소재,"42,350",300,+0.71%,"1,000","12,742","30,087",8.91,"1,353,400",76.44,7.16,
195,두산인프라코어,"16,100",300,-1.83%,"5,000","12,608","78,309",9.04,"692,558",15.32,6.47,
196,TIGER TOP10,"14,660",90,-0.61%,0,"12,608","86,000",0.19,"191,712",N/A,N/A,
197,효성화학,"394,500","14,500",-3.55%,"5,000","12,585","3,190",10.02,"29,702",43.07,-2.71,
198,영풍,"681,000","10,000",-1.45%,"5,000","12,544","1,842",4.41,"1,309",9.17,4.03,
199,한국콜마,"54,700","1,000",-1.80%,500,"12,516","22,881",26.38,"84,539",7.81,29.27,
200,세방전지,"88,000","1,700",-1.90%,500,"12,320","14,000",25.44,"46,721",15.97,6.14,
